value,categ
23.51,Thyroid
9.303,Thyroid
10.52,Thyroid
8.853,Thyroid
9.046,Thyroid
17.36,Thyroid
16.94,Thyroid
18.16,Thyroid
8.684,Thyroid
8.28,Thyroid
10.83,Thyroid
16.1,Thyroid
14.19,Thyroid
19.94,Thyroid
16.6,Thyroid
13.82,Thyroid
15.57,Thyroid
15.79,Thyroid
18.12,Thyroid
17.62,Thyroid
28.02,Thyroid
12.61,Thyroid
10.81,Thyroid
5.345,Thyroid
13.26,Thyroid
15.71,Thyroid
17.7,Thyroid
13.14,Thyroid
10.68,Thyroid
9.218,Thyroid
27.0,Thyroid
13.5,Thyroid
13.8,Thyroid
17.04,Thyroid
8.055,Thyroid
16.12,Thyroid
14.2,Thyroid
16.42,Thyroid
15.61,Thyroid
10.98,Thyroid
8.006,Thyroid
7.414,Thyroid
12.78,Thyroid
11.37,Thyroid
7.551,Thyroid
8.679,Thyroid
7.159,Thyroid
10.7,Thyroid
13.96,Thyroid
14.26,Thyroid
16.14,Thyroid
16.88,Thyroid
18.18,Thyroid
13.26,Thyroid
24.52,Thyroid
10.41,Thyroid
7.945,Thyroid
13.05,Thyroid
10.27,Thyroid
11.59,Thyroid
15.96,Thyroid
17.08,Thyroid
16.74,Thyroid
12.98,Thyroid
8.576,Thyroid
12.32,Thyroid
15.81,Thyroid
8.922,Thyroid
13.17,Thyroid
18.13,Thyroid
11.55,Thyroid
17.5,Thyroid
10.29,Thyroid
13.17,Thyroid
16.23,Thyroid
15.46,Thyroid
8.698,Thyroid
11.32,Thyroid
9.74,Thyroid
18.53,Thyroid
11.8,Thyroid
21.21,Thyroid
13.94,Thyroid
11.02,Thyroid
17.34,Thyroid
26.84,Thyroid
12.36,Thyroid
5.825,Thyroid
8.568,Thyroid
15.96,Thyroid
11.77,Thyroid
22.56,Thyroid
11.74,Thyroid
23.94,Thyroid
14.37,Thyroid
12.64,Thyroid
7.103,Thyroid
13.78,Thyroid
11.36,Thyroid
17.65,Thyroid
27.49,Thyroid
12.59,Thyroid
18.13,Thyroid
20.26,Thyroid
13.0,Thyroid
16.62,Thyroid
17.27,Thyroid
13.13,Thyroid
19.17,Thyroid
13.05,Thyroid
8.116,Thyroid
17.7,Thyroid
11.88,Thyroid
10.65,Thyroid
9.422,Thyroid
10.23,Thyroid
8.896,Thyroid
37.54,Thyroid
12.51,Thyroid
22.9,Thyroid
14.41,Thyroid
9.953,Thyroid
15.0,Thyroid
13.49,Thyroid
8.363,Thyroid
14.81,Thyroid
9.285,Thyroid
24.53,Thyroid
10.35,Thyroid
12.29,Thyroid
13.46,Thyroid
11.51,Thyroid
19.78,Thyroid
16.82,Thyroid
9.435,Thyroid
14.13,Thyroid
13.56,Thyroid
8.223,Thyroid
15.6,Thyroid
19.66,Thyroid
13.04,Thyroid
18.81,Thyroid
49.51,Thyroid
14.4,Thyroid
11.81,Thyroid
10.65,Thyroid
12.76,Thyroid
10.1,Thyroid
9.501,Thyroid
15.36,Thyroid
13.84,Thyroid
17.18,Thyroid
19.21,Thyroid
10.58,Thyroid
16.38,Thyroid
11.91,Thyroid
17.64,Thyroid
13.44,Thyroid
6.368,Thyroid
8.831,Thyroid
7.327,Thyroid
22.78,Thyroid
27.34,Thyroid
14.75,Thyroid
20.74,Thyroid
13.63,Thyroid
21.34,Thyroid
11.42,Thyroid
19.65,Thyroid
10.76,Thyroid
11.88,Thyroid
6.474,Thyroid
11.21,Thyroid
26.62,Thyroid
9.14,Thyroid
13.18,Thyroid
9.841,Thyroid
7.583,Thyroid
18.17,Thyroid
12.73,Thyroid
11.68,Thyroid
13.74,Thyroid
11.0,Thyroid
22.35,Thyroid
14.13,Thyroid
17.69,Thyroid
8.641,Thyroid
15.62,Thyroid
14.53,Thyroid
14.61,Thyroid
31.68,Thyroid
14.01,Thyroid
12.02,Thyroid
7.679,Thyroid
9.376,Thyroid
15.15,Thyroid
7.884,Thyroid
13.79,Thyroid
11.92,Thyroid
15.01,Thyroid
10.44,Thyroid
